Treatment,Inoc_size,rep_num,Attractor
No_migration,4,1,Alcaligenaceae
No_migration,4,2,Pseudomonadaceae
No_migration,4,3,Pseudomonadaceae
No_migration,4,4,Alcaligenaceae
No_migration,4,5,Alcaligenaceae
No_migration,4,6,Alcaligenaceae
No_migration,4,7,Alcaligenaceae
No_migration,4,8,Pseudomonadaceae
No_migration,4,9,Alcaligenaceae
No_migration,4,10,Pseudomonadaceae
No_migration,4,11,Alcaligenaceae
No_migration,4,12,Alcaligenaceae
No_migration,4,13,Pseudomonadaceae
No_migration,4,14,Pseudomonadaceae
No_migration,4,15,Pseudomonadaceae
No_migration,4,16,Alcaligenaceae
No_migration,4,17,Alcaligenaceae
No_migration,4,18,Alcaligenaceae
No_migration,4,19,Alcaligenaceae
No_migration,4,20,Pseudomonadaceae
No_migration,4,21,Pseudomonadaceae
No_migration,4,22,Alcaligenaceae
No_migration,4,23,Alcaligenaceae
No_migration,4,24,Alcaligenaceae
No_migration,4,25,Alcaligenaceae
No_migration,4,26,Pseudomonadaceae
No_migration,4,27,Alcaligenaceae
No_migration,4,28,Alcaligenaceae
No_migration,4,29,Pseudomonadaceae
No_migration,4,30,Alcaligenaceae
No_migration,4,31,Alcaligenaceae
No_migration,4,32,Alcaligenaceae
No_migration,4,33,Alcaligenaceae
No_migration,4,34,Alcaligenaceae
No_migration,4,35,Alcaligenaceae
No_migration,4,36,Alcaligenaceae
No_migration,4,37,Pseudomonadaceae
No_migration,4,38,Alcaligenaceae
No_migration,4,39,Alcaligenaceae
No_migration,4,40,Alcaligenaceae
No_migration,4,41,Alcaligenaceae
No_migration,4,42,Alcaligenaceae
No_migration,4,43,Alcaligenaceae
No_migration,4,44,Pseudomonadaceae
No_migration,4,45,Pseudomonadaceae
No_migration,4,46,Alcaligenaceae
No_migration,4,47,Alcaligenaceae
No_migration,4,48,Alcaligenaceae
No_migration,4,49,Alcaligenaceae
No_migration,4,50,Pseudomonadaceae
No_migration,4,51,Alcaligenaceae
No_migration,4,52,Alcaligenaceae
No_migration,4,53,Alcaligenaceae
No_migration,4,54,Pseudomonadaceae
No_migration,4,55,Alcaligenaceae
No_migration,4,56,Alcaligenaceae
No_migration,4,57,Alcaligenaceae
No_migration,4,58,Alcaligenaceae
No_migration,4,59,Pseudomonadaceae
No_migration,4,60,Alcaligenaceae
No_migration,4,61,Alcaligenaceae
No_migration,4,62,Alcaligenaceae
No_migration,4,63,Pseudomonadaceae
No_migration,4,64,Alcaligenaceae
No_migration,4,65,Alcaligenaceae
No_migration,4,66,Alcaligenaceae
No_migration,4,67,Pseudomonadaceae
No_migration,4,68,Alcaligenaceae
No_migration,4,69,Alcaligenaceae
No_migration,4,70,Pseudomonadaceae
No_migration,4,71,Pseudomonadaceae
No_migration,4,72,Alcaligenaceae
No_migration,4,73,Alcaligenaceae
No_migration,4,74,Pseudomonadaceae
No_migration,4,75,Alcaligenaceae
No_migration,4,76,Pseudomonadaceae
No_migration,4,77,Pseudomonadaceae
No_migration,4,78,Alcaligenaceae
No_migration,4,79,Pseudomonadaceae
No_migration,4,80,Alcaligenaceae
No_migration,4,81,Alcaligenaceae
No_migration,4,82,Alcaligenaceae
No_migration,4,83,Alcaligenaceae
No_migration,4,84,Alcaligenaceae
No_migration,4,85,Alcaligenaceae
No_migration,4,86,Alcaligenaceae
No_migration,4,87,Pseudomonadaceae
No_migration,4,88,Alcaligenaceae
No_migration,4,89,Alcaligenaceae
No_migration,4,90,Pseudomonadaceae
No_migration,4,91,Alcaligenaceae
No_migration,4,92,Alcaligenaceae
No_migration,40,1,Pseudomonadaceae
No_migration,40,2,Pseudomonadaceae
No_migration,40,3,Pseudomonadaceae
No_migration,40,4,Pseudomonadaceae
No_migration,40,5,Pseudomonadaceae
No_migration,40,6,Pseudomonadaceae
No_migration,40,7,Pseudomonadaceae
No_migration,40,8,Pseudomonadaceae
No_migration,40,9,Pseudomonadaceae
No_migration,40,10,Pseudomonadaceae
No_migration,40,11,Pseudomonadaceae
No_migration,40,12,Pseudomonadaceae
No_migration,40,13,Pseudomonadaceae
No_migration,40,14,Pseudomonadaceae
No_migration,40,15,Pseudomonadaceae
No_migration,40,16,Pseudomonadaceae
No_migration,40,17,Pseudomonadaceae
No_migration,40,18,Pseudomonadaceae
No_migration,40,19,Pseudomonadaceae
No_migration,40,20,Pseudomonadaceae
No_migration,40,21,Pseudomonadaceae
No_migration,40,22,Pseudomonadaceae
No_migration,40,23,Pseudomonadaceae
No_migration,40,24,Pseudomonadaceae
No_migration,40,25,Pseudomonadaceae
