N,S,Nmax,pln_Nmax,ll,r2_mod
32220,10,20660,26282,-80.76623114073143,0.9694051269884323
29656,10,17579,22796,-71.9168927067468,0.8934015242374854
34611,15,14215,12855,-125.46056210256069,0.9530464785293511
40681,20,15480,31958,-155.36652526775077,0.9808603543855718
40930,13,24496,28555,-94.54754554798623,0.9591300977747761
35697,15,16622,16056,-121.4820609554043,0.9551584528211092
33636,17,12910,37998,-130.523427443016,0.930971438619916
25168,10,12246,24104,-77.91295146358385,0.9528181647481755
23336,13,6516,14835,-107.94110451988371,0.9573040255682833
30424,15,16348,9289,-93.41074544158559,0.904126367336848
44079,14,24669,43851,-104.71187401638556,0.9721951558518098
44488,15,14430,31404,-124.12112203772396,0.9560195912472996
48436,14,18403,23520,-124.73286797948958,0.9226378090263452
27686,14,13317,19299,-110.14241262934998,0.9767260997921234
34389,14,15132,21871,-101.28326015567455,0.9319409488769749
32079,14,14976,18486,-109.3059324901634,0.972456649971717
55087,15,28833,32990,-115.09594360322052,0.9505458792538094
55365,22,15188,57258,-171.7709236578674,0.9453467582547255
27515,11,12483,17233,-89.925050128561,0.9493509460600263
39737,11,17368,31840,-87.7775265373177,0.8861065682816935
23148,13,10479,12472,-97.69406382150596,0.9584789482641202
34085,13,12292,22402,-107.3833544493248,0.9429116684027328
27584,12,20575,10169,-79.87590023192327,0.8528920831617396
50209,13,12992,50400,-116.7369774384346,0.9286093160409514
38574,11,16818,40420,-97.28758233352272,0.9096070017449014
41987,12,17087,40968,-100.35365139955371,0.9360948701984579
31048,11,21845,19054,-75.35356074285926,0.9413326491857402
41582,13,13888,38311,-112.37645535716341,0.9505490480030637
51526,18,19911,23845,-154.327939023572,0.9732271849218468
32024,10,13860,25954,-75.04396542460516,0.9026503576325641
35365,10,17477,13364,-84.05094882506455,0.891606125701118
34592,12,17645,27030,-99.55085347211794,0.9747808456620669
31251,11,12979,40840,-86.64078729977939,0.9439223071318571
49507,15,25137,22588,-128.2738761992485,0.9827209386349028
33845,12,16310,16546,-103.08723211831972,0.9829849131358868
40755,10,26837,31957,-69.69139066074696,0.9392619118493422
46563,12,18245,24961,-106.11221194283719,0.9434287161007798
44098,14,23230,41811,-100.53776028007721,0.940556545442027
31727,15,14158,22072,-106.51996546027246,0.9403917092780094
38636,11,16639,24562,-93.94822244617315,0.9677937368684072
49701,14,19723,36826,-121.68067201047133,0.9528390815942394
58765,14,38665,34492,-112.12958719725191,0.9656789598737114
