N,S,Nmax,pln_Nmax,ll,r2_mod
32320,10,14224,29107,-80.61370142854176,0.9410025200991139
34869,10,13703,27193,-85.57878213883512,0.8942431020115441
29549,13,11062,17458,-107.83525181388518,0.9811092385065561
25474,17,21486,4474,-118.35325998932585,0.9098466585699813
24269,10,23610,4502,-58.564457006449445,0.9182728965592464
29492,10,22619,21714,-74.39883534945729,0.9622548994626037
35626,12,12607,33190,-99.82257924783508,0.9005872825989449
36112,16,29583,9556,-115.05013084046264,0.9318563669509349
41317,10,17126,37481,-85.35242483599228,0.9501499159085477
26915,11,15395,21410,-77.94998792251347,0.9522895264348726
34075,12,28980,13605,-88.39417440737166,0.9809996076105264
37025,12,24396,24646,-95.18000325532478,0.9447132478955174
48642,12,29347,39668,-92.27697696136359,0.9612030023344751
44729,17,32500,15474,-128.4732310283339,0.973696439605232
51343,16,40432,20416,-113.19910172974419,0.9484645870782094
61671,13,52486,17734,-108.16776460286103,0.9503576356713196
51592,10,20699,68086,-86.55100688624645,0.9064393179580283
20559,11,13169,7656,-86.0348855439274,0.9199966515360685
52605,11,32227,38826,-89.281079128551,0.9490690844490443
63136,10,51287,33615,-81.13665261039394,0.9449537970379791
47534,12,18690,32052,-99.05413768955911,0.9371901513497518
56139,13,22949,70433,-108.71458305131154,0.9649979597697643
55939,11,36040,50066,-88.18115323584827,0.9693211149211081
