N,S,Nmax,pln_Nmax,ll,r2_mod
13226,12,9449,4583,-84.82747542865349,0.9551950850145284
33745,17,23307,10746,-130.82724426641073,0.9720502334494541
15131,14,9392,6349,-97.2751659183937,0.9604531911882852
21752,10,10547,19757,-79.06485595247757,0.9648754891129009
16454,17,8586,6739,-124.86301868411036,0.9724966713186222
40943,14,34776,12383,-94.65178188011272,0.9416114281001106
35163,16,16032,27522,-118.48687400815777,0.946669826402124
20594,14,14652,8168,-100.27675988452602,0.9522736739825046
32043,14,20494,18431,-106.08196290875514,0.9801546235266265
34256,13,31393,10151,-88.8438380946202,0.942980458013247
32695,22,28649,3379,-135.94744501908082,0.8311521441719361
50732,23,25083,28792,-171.45603170282592,0.958444284755462
8435,12,4458,3640,-77.08306643119691,0.9023654071378242
26531,13,20941,8313,-96.6846904775206,0.9479542055972844
11778,11,9885,5502,-72.55629592072734,0.975333515035484
13611,12,6127,6096,-91.98020133970776,0.9751100653790076
20241,14,13877,8648,-99.29092516095623,0.973592601399985
29298,15,10081,19993,-120.45071042930783,0.9739101670496665
29077,22,19526,6573,-153.67957403747678,0.9254960541111966
36334,11,24746,24230,-86.70526673495351,0.9474218217392532
37127,20,20497,17177,-140.87293344428016,0.963174609039408
29583,16,18003,10400,-116.99947443663163,0.9583862952412836
24476,12,15586,9837,-88.46224753853082,0.9456379368314459
30708,16,12314,15608,-123.48782004956306,0.9702911068444761
41313,11,15664,42699,-94.28947270840195,0.9228144175982763
25965,12,14646,10849,-97.90706034008936,0.965440086471254
31863,13,10071,21352,-105.64144585205412,0.9283771079012133
40611,16,34719,5072,-105.92005169658785,0.7899378688052888
21222,14,15815,11364,-99.80674094325691,0.9815002287150093
36973,13,23222,18356,-100.73088221428715,0.9681839255507034
30115,13,14034,15570,-101.05950050195136,0.9574486045895506
20468,16,7276,13211,-122.39812702392892,0.9737293485729968
19810,19,9572,10067,-138.13039695895827,0.9827521705350892
34646,14,12028,18128,-106.28712581956734,0.9096503378892409
38590,18,27171,11310,-119.12145642312036,0.9288872635380864
67596,13,38891,49388,-115.44289079109066,0.9766333081728085
35807,17,20594,16229,-122.53199216097101,0.972525490337167
26904,15,20868,5472,-100.23385020363625,0.8722806625394212
17880,13,9482,8447,-101.038871128691,0.9800099405007254
23915,21,8212,11327,-157.41629854726474,0.9606097403082228
38923,10,24995,35427,-84.71423990791935,0.9528441544741861
33345,17,9980,19654,-135.72053984621107,0.9653411134678478
23667,12,12618,13479,-94.07985629047013,0.9757896213528173
33759,16,23485,8684,-107.47283215231809,0.9075313716880583
57478,17,27679,26477,-146.60074724369332,0.9812763825091368
32349,11,16885,26265,-92.6438119393556,0.9690773203539016
39358,16,30318,18896,-120.31831268609793,0.973961496543502
24777,13,11339,14213,-98.98795920014939,0.9678389136946365
54834,21,17458,28598,-154.05701712446648,0.9131377509207573
32507,15,9763,18929,-126.91627537406559,0.9574782193128625
33856,12,20804,13899,-98.87741551135451,0.9664645136220553
27765,18,11487,11679,-134.22464158566345,0.9439776782019582
27843,11,10621,16497,-95.00608267419366,0.9567960329176466
45252,10,35886,25981,-73.2865132289399,0.9303602198974208
36208,20,14562,23409,-153.6941531689483,0.9864945967123748
52978,13,24066,52374,-106.03471151697671,0.9480725824645541
20166,16,16011,4874,-99.66953196321943,0.8918517732241056
41367,13,33053,12589,-103.35457500218281,0.9427826243606812
45771,17,20549,39779,-134.59693532374138,0.9518686924347695
46115,15,28850,14953,-106.63816929015157,0.9356563335201393
29662,16,13566,14889,-128.97353282675564,0.9710118511728362
41350,12,33191,14566,-86.6530355890198,0.9190387408142333
22478,16,13819,12414,-109.77426214353252,0.9392017278770659
32026,12,14554,20515,-94.28493586941661,0.9486324891349001
47252,10,33136,31836,-78.4408168749035,0.9461310116316872
34801,20,18064,10866,-133.36099867849623,0.8795619798107831
36920,15,22750,15740,-116.28150599320104,0.9822414526145271
21288,12,8365,10507,-101.04262269524041,0.9608858136363926
37267,16,18513,16320,-106.93889079540033,0.9165494366923785
41420,22,17700,31926,-157.67990017431626,0.962499995854505
36623,12,13791,31569,-102.29407622568256,0.9322667454273693
38702,11,12795,32432,-90.0814386508449,0.8787897444397736
29274,11,22292,10963,-87.56457060197229,0.9031762457955557
28046,11,17407,16868,-90.59554561713566,0.9848771169035337
