Observed,Predicted
20660,26282
7965,4856
1503,1783
1207,803
395,393
263,198
193,98
16,45
14,17
4,4
17579,22796
6995,2801
4851,820
125,312
29,134
25,60
24,27
20,12
5,5
3,1
14215,12855
8907,5188
4867,3096
1489,2089
1355,1496
973,1106
910,833
505,632
486,480
364,361
193,267
107,191
90,129
82,77
68,31
15480,31958
7928,8537
5852,4104
4378,2377
3281,1511
1546,1015
565,706
423,502
331,363
313,264
205,193
109,141
90,102
64,73
37,51
29,35
29,22
11,13
8,7
2,2
24496,28555
9229,4544
6299,1588
324,710
205,356
170,191
94,105
64,59
21,32
12,17
8,9
6,4
2,1
16622,16056
11394,5255
3096,2785
1366,1716
1248,1138
401,785
360,554
263,394
260,281
227,198
187,137
157,91
91,56
14,30
11,10
12910,37998
11723,8215
2035,3479
1981,1822
1901,1059
896,654
742,419
678,275
326,182
259,121
133,80
14,52
12,33
11,20
6,11
5,5
4,2
12246,24104
9138,4011
1676,1387
1489,597
485,281
64,137
34,66
19,29
14,11
3,3
6516,14835
5548,5015
3999,2683
3931,1655
957,1091
948,743
484,514
383,356
288,242
134,160
89,98
48,53
11,18
16348,9289
13378,1712
280,663
147,324
78,178
42,104
40,64
40,40
31,25
18,16
6,10
5,6
4,4
4,2
3,1
24669,43851
9902,6879
6974,2401
1271,1077
652,546
215,295
214,166
89,95
43,54
17,31
16,17
13,9
2,4
2,1
14430,31404
13242,8413
8889,3980
3303,2250
1804,1386
1282,895
695,594
302,399
275,268
80,178
68,115
63,71
24,41
19,20
12,6
18403,23520
16789,8893
2760,5096
2225,3325
1615,2307
1473,1654
1447,1206
1218,884
788,644
786,462
475,320
286,209
157,120
14,45
13317,19299
6401,5072
4448,2362
1246,1315
782,797
588,506
386,328
161,215
121,140
114,89
90,54
19,31
8,15
5,4
15132,21871
10895,4150
7038,1612
688,783
251,424
151,243
75,144
53,87
41,52
37,31
10,17
8,9
6,4
4,1
14976,18486
11657,4823
1661,2237
1570,1242
936,751
545,475
279,308
224,201
94,131
46,83
42,51
33,28
9,14
7,4
28833,32990
17775,6790
4507,2771
1650,1402
1499,788
377,469
198,288
70,180
50,113
46,70
30,43
27,25
11,13
7,6
7,2
15188,57258
13957,13537
9246,6116
5452,3395
3590,2091
2479,1369
2068,934
1687,654
849,467
219,337
199,245
156,179
67,131
64,95
60,68
19,48
18,34
17,23
12,14
6,9
6,4
6,2
12483,17233
10258,4513
1591,2055
1317,1106
1088,640
320,381
273,228
120,132
25,71
24,33
16,9
17368,31840
9584,5668
9222,2063
3212,933
119,464
78,241
55,126
37,64
34,30
22,12
6,3
10479,12472
9267,3204
1836,1465
567,801
280,476
241,295
186,187
139,118
50,74
50,44
42,25
6,12
5,3
12292,22402
9291,6183
6490,2944
2483,1660
2279,1012
568,643
281,415
154,268
93,171
54,104
49,59
37,28
14,8
20575,10169
4802,1774
1997,649
66,299
32,153
31,83
23,46
20,26
14,14
11,7
9,3
4,1
12992,50400
11314,13383
10542,6231
7331,3452
2551,2073
2146,1298
2067,827
630,528
403,330
114,199
58,110
53,52
8,14
16818,40420
9877,9713
5495,4204
3071,2173
1487,1214
869,700
360,404
271,226
186,117
138,51
2,13
17087,40968
8850,8486
8271,3401
4773,1669
2310,898
267,505
176,288
117,163
89,89
28,44
11,18
8,4
21845,19054
6894,2412
2051,731
113,290
52,131
51,63
14,31
11,15
10,7
5,3
2,1
13888,38311
11672,9906
8283,4543
2367,2487
1882,1479
1483,918
817,580
696,367
349,228
61,136
43,75
35,35
6,9
19911,23845
14781,8926
4587,5149
3426,3405
1712,2410
1207,1773
1140,1336
1132,1022
866,788
778,609
694,469
466,359
248,271
224,199
217,141
71,93
56,54
10,20
13860,25954
10308,3560
7496,1105
176,438
77,193
58,89
21,40
17,18
6,7
5,2
17477,13364
14811,4137
883,2059
689,1180
584,715
527,441
168,267
87,153
87,76
52,23
17645,27030
9320,6543
2314,2869
2308,1509
1791,863
566,513
270,309
166,184
157,105
32,56
17,25
6,6
12979,40840
8974,6119
5584,2020
2854,848
614,396
111,194
70,96
45,46
12,21
5,8
3,2
25137,22588
10967,7744
5766,4213
2213,2649
1372,1786
1152,1251
723,895
587,647
536,467
492,334
318,234
100,158
74,99
50,54
20,18
16310,16546
9390,5774
2293,3130
1956,1941
1247,1280
1155,869
458,595
448,404
314,266
182,165
68,89
24,31
26837,31957
12270,2823
1350,694
219,234
44,92
16,38
6,17
6,7
4,3
3,1
18245,24961
16525,8064
5268,4180
2451,2504
1047,1602
988,1057
737,704
649,464
479,297
74,178
51,92
49,30
23230,41811
12081,5818
4264,1906
3940,818
316,400
115,210
55,116
41,65
26,37
9,21
7,11
7,6
4,3
3,1
14158,22072
9959,4192
5288,1639
1635,805
220,441
193,258
98,156
74,96
32,60
31,37
12,22
11,13
8,7
4,3
4,1
16639,24562
14531,6471
2574,2956
2508,1594
1427,924
435,552
195,330
178,191
103,103
31,47
15,13
19723,36826
9692,10437
9509,5072
3877,2916
2856,1816
1837,1181
771,784
689,525
357,349
247,227
51,141
38,81
35,40
19,11
38665,34492
13807,7565
3074,3179
1368,1637
585,929
293,555
274,341
230,211
211,130
120,79
103,45
28,24
4,11
3,3
