Observed,Predicted
14224,29107
10039,5069
6462,1799
1155,789
237,377
75,186
56,90
42,41
27,15
3,3
13703,27193
8898,6305
8179,2644
2665,1321
1023,709
227,389
55,209
54,105
37,44
28,11
11062,17458
9895,5462
3879,2795
1786,1666
907,1066
639,707
490,476
416,321
224,213
137,136
60,81
45,42
9,13
21486,4474
1167,1665
1038,955
555,628
260,442
248,323
178,241
118,183
110,139
74,106
59,81
52,60
38,44
37,31
24,20
18,12
12,4
23610,4502
490,607
66,191
51,78
15,36
14,18
13,9
5,4
3,2
2,1
22619,21714
3424,3154
2472,1011
681,411
222,185
29,87
19,40
15,18
8,7
3,2
12607,33190
9111,7402
8899,3096
1845,1570
1281,869
1239,502
504,294
48,170
34,95
27,49
17,21
14,5
29583,9556
2341,2781
1805,1385
890,817
753,523
272,351
95,242
91,170
82,119
60,84
58,58
21,39
19,25
18,15
15,8
9,3
17126,37481
12840,7321
9115,2775
928,1280
819,640
173,328
169,165
115,77
28,30
4,7
15395,21410
9396,2913
1327,916
504,373
208,171
34,83
20,41
18,20
6,9
4,4
3,1
28980,13605
2389,2931
1577,1204
541,603
188,331
158,190
116,110
54,64
39,36
17,19
14,8
2,2
24396,24646
5369,5268
4237,2151
1678,1072
689,585
274,333
247,193
76,110
21,61
15,31
12,13
11,3
29347,39668
12157,6082
4379,2059
2291,890
166,431
142,221
56,116
43,60
31,31
21,14
7,6
2,2
32500,15474
6700,4486
2044,2237
902,1323
701,852
596,575
425,400
339,283
177,202
123,144
81,102
40,71
34,48
28,31
21,19
11,10
7,3
40432,20416
6217,4192
2146,1720
1195,878
944,499
109,302
71,189
51,121
49,78
48,51
22,32
20,20
17,12
15,7
5,3
2,1
52486,17734
2922,5573
1864,2859
1288,1707
754,1094
742,727
597,490
435,331
254,220
172,141
118,84
24,43
15,14
20699,68086
13823,10512
9469,3471
5937,1437
1388,653
123,306
110,140
23,60
11,21
9,4
13169,7656
3620,2515
2502,1308
360,781
321,496
166,322
118,209
105,133
101,79
79,41
18,13
32227,38826
14286,6722
4293,2407
729,1075
355,529
329,271
328,140
25,70
16,32
10,13
7,3
51287,33615
8144,5595
1482,1934
1281,830
792,390
51,189
48,90
24,40
20,15
7,3
18690,32052
18444,7055
6163,2928
2979,1477
554,814
379,468
80,273
77,157
75,87
59,45
27,19
7,5
22949,70433
17204,12444
9976,4593
2481,2130
1621,1100
942,601
575,337
189,189
143,105
37,55
12,27
7,11
3,3
36040,50066
10930,7297
7390,2369
692,982
597,454
94,220
83,108
71,51
34,23
6,9
2,2
